Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Jan 07, 2021","Jan 07, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,2 in kitchen knife sheath,2,1,50.0000%,$0.57,$0.57,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 12, 2021","Jan 12, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,4 inch blade sheath for kitchen knife,4,1,25.0000%,$0.66,$0.66,$12.99,5.0808%,19.68,1,1,100.0000%,1,0,$12.99,$0.00
"Jan 12, 2021","Jan 12, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,6.5 inch leather sheath for kitchen knife,2,1,50.0000%,$0.47,$0.47,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 12, 2021","Jan 12, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,clear plastic knife sheaths for kitchen knives,3,1,33.3333%,$0.47,$0.47,$12.99,3.6182%,27.64,1,1,100.0000%,1,0,$12.99,$0.00
"Dec 28, 2020","Dec 28, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife blade sheath sleeve,13,1,7.6923%,$0.60,$0.60,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 01, 2021","Jan 14, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath,168,4,2.3810%,$0.50,$1.98,$42.98,4.6068%,21.71,2,2,50.0000%,1,1,$12.99,$29.99
"Dec 27, 2020","Dec 27, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath 5 inch,2,1,50.0000%,$0.48,$0.48,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 30, 2020","Jan 07, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath set,80,3,3.7500%,$0.49,$1.46,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 21, 2020","Jan 15, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheaths,259,3,1.1583%,$0.72,$2.15,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 10, 2021","Jan 10, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,knife sheath for kitchen,6,1,16.6667%,$0.66,$0.66,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 04, 2021","Jan 13, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,knife sheath kitchen,147,5,3.4014%,$0.47,$2.36,$19.49,12.1088%,8.26,1,1,20.0000%,1,0,$19.49,$0.00
"Jan 06, 2021","Jan 06, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,knife sheaths kitchen,44,1,2.2727%,$0.42,$0.42,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 24, 2020","Dec 24, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheath cover for 6” kitchen utility knife,1,1,100.0000%,$0.33,$0.33,$12.99,2.5404%,39.36,1,1,100.0000%,1,0,$12.99,$0.00
"Jan 10, 2021","Jan 10, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheath for kitchen knife,6,1,16.6667%,$0.35,$0.35,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 22, 2020","Dec 22, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheath guard for kitchen knives,2,1,50.0000%,$0.48,$0.48,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 25, 2020","Jan 04, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheaths for kitchen knives,88,2,2.2727%,$0.52,$1.04,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 04, 2021","Jan 04, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,10 chef knife cover,72,1,1.3889%,$0.33,$0.33,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 29, 2020","Dec 29, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,"8"" chef knife covers or sleeves",2,1,50.0000%,$0.71,$0.71,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jan 06, 2021","Jan 06, 2021",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,blade cover for 8 inch chef's knife henckels,3,1,33.3333%,$0.74,$0.74,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 29, 2020","Dec 29, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife 6 inch cover,2,1,50.0000%,$0.65,$0.65,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
