Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
2021-01-07,2021-01-07,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,2 in kitchen knife sheath,2,1,50.00%,$0.57 ,$0.57 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-12,2021-01-12,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,4 inch blade sheath for kitchen knife,4,1,25.00%,$0.66 ,$0.66 ,$12.99 ,5.08%,19.68,1,1,100.00%,1,0,$12.99 ,$0.00 
2021-01-12,2021-01-12,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,6.5 inch leather sheath for kitchen knife,2,1,50.00%,$0.47 ,$0.47 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-12,2021-01-12,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,clear plastic knife sheaths for kitchen knives,3,1,33.33%,$0.47 ,$0.47 ,$12.99 ,3.62%,27.64,1,1,100.00%,1,0,$12.99 ,$0.00 
2020-12-28,2020-12-28,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife blade sheath sleeve,13,1,7.69%,$0.60 ,$0.60 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-01,2021-01-14,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath,168,4,2.38%,$0.50 ,$1.98 ,$42.98 ,4.61%,21.71,2,2,50.00%,1,1,$12.99 ,$29.99 
2020-12-27,2020-12-27,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath 5 inch,2,1,50.00%,$0.48 ,$0.48 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-30,2021-01-07,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath set,80,3,3.75%,$0.49 ,$1.46 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-21,2021-01-15,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheaths,259,3,1.16%,$0.72 ,$2.15 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-10,2021-01-10,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,knife sheath for kitchen,6,1,16.67%,$0.66 ,$0.66 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-04,2021-01-13,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,knife sheath kitchen,147,5,3.40%,$0.47 ,$2.36 ,$19.49 ,12.11%,8.26,1,1,20.00%,1,0,$19.49 ,$0.00 
2021-01-06,2021-01-06,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,knife sheaths kitchen,44,1,2.27%,$0.42 ,$0.42 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-24,2020-12-24,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheath cover for 6” kitchen utility knife,1,1,100.00%,$0.33 ,$0.33 ,$12.99 ,2.54%,39.36,1,1,100.00%,1,0,$12.99 ,$0.00 
2021-01-10,2021-01-10,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheath for kitchen knife,6,1,16.67%,$0.35 ,$0.35 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-22,2020-12-22,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheath guard for kitchen knives,2,1,50.00%,$0.48 ,$0.48 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-25,2021-01-04,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheaths for kitchen knives,88,2,2.27%,$0.52 ,$1.04 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-04,2021-01-04,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,10 chef knife cover,72,1,1.39%,$0.33 ,$0.33 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-29,2020-12-29,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,"8"" chef knife covers or sleeves",2,1,50.00%,$0.71 ,$0.71 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-06,2021-01-06,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,blade cover for 8 inch chef's knife henckels,3,1,33.33%,$0.74 ,$0.74 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-29,2020-12-29,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife 6 inch cover,2,1,50.00%,$0.65 ,$0.65 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-22,2020-12-27,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife cover,263,4,1.52%,$0.60 ,$2.40 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-04,2021-01-04,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife cover pairing knife cover,5,1,20.00%,$0.56 ,$0.56 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-28,2021-01-07,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife covers,349,5,1.43%,$0.50 ,$2.48 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-10,2021-01-10,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife covers or sleeves,9,1,11.11%,$0.73 ,$0.73 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-02,2021-01-02,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef sac knife covers,2,1,50.00%,$0.36 ,$0.36 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-22,2020-12-22,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chefs knife cover,85,1,1.18%,$0.33 ,$0.33 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-20,2020-12-20,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,henckels 6 inch chef knife cover,1,1,100.00%,$0.81 ,$0.81 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-27,2020-12-27,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,henckels 8 inch chef knife cover,1,1,100.00%,$0.78 ,$0.78 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-02,2021-01-02,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,meisen chef knife cover,6,1,16.67%,$0.80 ,$0.80 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-25,2021-01-14,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,blade protector for knives,131,3,2.29%,$0.43 ,$1.30 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-29,2020-12-29,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,blade protector for mercer pairing knife,4,1,25.00%,$0.83 ,$0.83 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-30,2020-12-30,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,blade safe knife protector,187,1,0.53%,$0.62 ,$0.62 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-17,2020-12-17,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,blade saver knife protector,2,1,50.00%,$0.63 ,$0.63 ,$12.99 ,4.85%,20.62,1,1,100.00%,1,0,$12.99 ,$0.00 
2021-01-08,2021-01-08,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,bread knife blade protector,14,1,7.14%,$0.98 ,$0.98 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-05,2021-01-05,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,kitchen knife blade protector,4,1,25.00%,$0.47 ,$0.47 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-23,2021-01-14,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,knife blade protector,1552,17,1.10%,$0.48 ,$8.20 ,$29.48 ,27.82%,3.6,3,3,17.65%,2,1,$25.98 ,$3.50 
2020-12-26,2020-12-26,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,knife blade protector 12 inch,3,1,33.33%,$0.51 ,$0.51 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-31,2020-12-31,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,knife blade protectors,216,1,0.46%,$0.64 ,$0.64 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-05,2021-01-05,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,mercer curved boning knife blade protector,7,1,14.29%,$0.92 ,$0.92 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-31,2020-12-31,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,rada knife blade protector,6,1,16.67%,$0.49 ,$0.49 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-12,2021-01-12,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,serbian knife blade protector,3,1,33.33%,$0.63 ,$0.63 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-26,2021-01-05,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,edge guard knife protector,BROAD,edge guard knife protector,915,6,0.66%,$0.54 ,$3.26 ,$42.98 ,7.58%,13.18,2,2,33.33%,1,1,$12.99 ,$29.99 
2021-01-01,2021-01-01,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,10in knife edge guard,47,1,2.13%,$0.43 ,$0.43 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-05,2021-01-05,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,12” knife edge guard,50,2,4.00%,$0.58 ,$1.16 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-11,2021-01-11,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,6  knife edge guard,29,1,3.45%,$0.64 ,$0.64 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-08,2021-01-08,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,"7"" knife edge guard",4,1,25.00%,$0.64 ,$0.64 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-20,2021-01-14,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard,1243,12,0.97%,$0.43 ,$5.12 ,$42.98 ,11.91%,8.39,2,2,16.67%,2,0,$42.98 ,$0.00 
2020-12-25,2020-12-25,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard 3.5 6,1,1,100.00%,$0.39 ,$0.39 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-23,2020-12-23,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard 7 inch,4,1,25.00%,$0.37 ,$0.37 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-03,2021-01-03,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard 9,125,1,0.80%,$0.50 ,$0.50 ,$5.99 ,8.35%,11.98,1,1,100.00%,0,1,$0.00 ,$5.99 
2021-01-04,2021-01-08,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard set,166,3,1.81%,$0.43 ,$1.29 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-11,2021-01-11,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,magnetic knife edge guard,13,1,7.69%,$0.58 ,$0.58 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-25,2020-12-25,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,noble knife edge guard,32,1,3.13%,$0.38 ,$0.38 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-31,2020-12-31,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,rada knife edge guard,5,1,20.00%,$0.67 ,$0.67 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-14,2021-01-14,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,single edge knife guard,5,1,20.00%,$0.59 ,$0.59 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-07,2021-01-07,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,victorinox 5 inch knife edge guard,17,1,5.88%,$0.64 ,$0.64 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-12,2021-01-12,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,victorinox fillet knife 6 curved flex edge guard,3,1,33.33%,$0.65 ,$0.65 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-28,2020-12-28,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife guard,BROAD,10 in knife guard,127,1,0.79%,$0.65 ,$0.65 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2021-01-04,2021-01-04,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife guard,BROAD,10 knife guard,3,1,33.33%,$0.69 ,$0.69 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-21,2020-12-21,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife guard,BROAD,12 knife guard,1,1,100.00%,$0.60 ,$0.60 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
2020-12-21,2020-12-21,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife guard,BROAD,5.5 knife guard,80,1,1.25%,$0.69 ,$0.69 ,$12.99 ,5.31%,18.83,1,1,100.00%,1,0,$12.99 ,$0.00 
2020-12-26,2020-12-26,Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife guard,BROAD,6 in knife guard,2,1,50.00%,$0.59 ,$0.59 ,$0.00 ,,0,0,0,0.00%,0,0,$0.00 ,$0.00 
