Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Nov 27, 2020","Nov 27, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,engraved kitchen knife sheath,2,1,50.0000%,$0.62,$0.62,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 16, 2020","Nov 19, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath,160,3,1.8750%,$0.53,$1.60,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 22, 2020","Nov 22, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath 10 inch blade,4,1,25.0000%,$0.52,$0.52,$12.99,4.0031%,24.98,1,1,100.0000%,1,0,$12.99,$0.00
"Nov 23, 2020","Nov 23, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,kitchen knife sheath covers,4,1,25.0000%,$0.34,$0.34,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 24, 2020","Nov 24, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,knife sheaths kitchen,45,1,2.2222%,$0.67,$0.67,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 23, 2020","Nov 23, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,plastic kitchen knife sheath,5,1,20.0000%,$0.31,$0.31,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 20, 2020","Nov 20, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,kitchen knife sheath,BROAD,sheaths for kitchen knives,12,1,8.3333%,$0.58,$0.58,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 28, 2020","Nov 28, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,10 chef knife cover,374,1,0.2674%,$0.39,$0.39,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 23, 2020","Nov 23, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,8  chef knife cover,128,1,0.7813%,$0.49,$0.49,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 19, 2020","Dec 06, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife cover,386,3,0.7772%,$0.48,$1.44,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 19, 2020","Nov 19, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife cover protector,79,1,1.2658%,$0.37,$0.37,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 19, 2020","Nov 19, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife covers,65,1,1.5385%,$0.29,$0.29,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 25, 2020","Nov 25, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,chef knife covers,BROAD,chef knife wusthof cover,1,1,100.0000%,$0.64,$0.64,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 30, 2020","Nov 30, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,"10"" knife blade protector",1,1,100.0000%,$0.76,$0.76,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 17, 2020","Nov 22, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,blade protector for knives,110,2,1.8182%,$0.62,$1.24,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 16, 2020","Nov 26, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,blade safe knife protector,248,2,0.8065%,$0.62,$1.23,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 14, 2020","Dec 14, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,blade saver knife protector,20,1,5.0000%,$0.61,$0.61,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 05, 2020","Dec 05, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,henckels 6 inch utility knife blade protector,1,1,100.0000%,$0.60,$0.60,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 16, 2020","Dec 13, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,knife blade protector,204,8,3.9216%,$0.50,$3.96,$12.99,30.4850%,3.28,1,1,12.5000%,1,0,$12.99,$0.00
"Dec 10, 2020","Dec 11, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,knife blade protector 5 in,3,2,66.6667%,$0.66,$1.31,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 17, 2020","Nov 17, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,knife edge protector for thick blades,10,1,10.0000%,$0.62,$0.62,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 20, 2020","Nov 20, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife blade protector,BROAD,paring knife blade protector,47,1,2.1277%,$0.73,$0.73,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 20, 2020","Dec 10, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,edge guard knife protector,BROAD,edge guard knife protector,448,4,0.8929%,$0.72,$2.87,$5.99,47.9132%,2.09,1,1,25.0000%,0,1,$0.00,$5.99
"Nov 29, 2020","Nov 29, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,10.25 bread knife edge guard,1,1,100.0000%,$0.64,$0.64,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 25, 2020","Nov 25, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,14  knife edge guard,37,1,2.7027%,$0.64,$0.64,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 11, 2020","Dec 11, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,3.5 knife edge guard,11,1,9.0909%,$0.29,$0.29,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 23, 2020","Nov 23, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,4 pc black edge guard knife,1,1,100.0000%,$0.45,$0.45,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 06, 2020","Dec 06, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,5” plastic knife edge guard,8,1,12.5000%,$0.51,$0.51,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 13, 2020","Dec 14, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,6 inch knife edge guard,3,2,66.6667%,$0.50,$1.00,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 05, 2020","Dec 07, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,6 knife edge guard,4,2,50.0000%,$0.64,$1.28,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 29, 2020","Nov 29, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,6.5&amp,#34, + 5 &amp,#34, and 4&amp,#34,knife edge guards,1,1,100.0000%,$0.45,$0.45,$0.00,,0,0
"Dec 10, 2020","Dec 10, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,7&amp,#34, cooking knives sheath edge guards,1,1,100.0000%,$0.50,$0.50,$0.00,,0,0,0,0.0000%,0,0
"Dec 12, 2020","Dec 12, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,8 inch plastic knife edge guard,1,1,100.0000%,$0.41,$0.41,$11.98,3.4224%,29.22,1,2,100.0000%,0,2,$0.00,$11.98
"Dec 16, 2020","Dec 16, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,asaya knife edge guards,1,1,100.0000%,$0.39,$0.39,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2020","Dec 15, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,bread knife edge guard,51,1,1.9608%,$0.57,$0.57,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 20, 2020","Nov 20, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,butcher knife edge guard,17,1,5.8824%,$0.60,$0.60,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 10, 2020","Dec 10, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,chef knife edge guards 8&#34 bulk,4,1,25.0000%,$0.58,$0.58,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 05, 2020","Dec 05, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,chef knife edge guards cleaver,1,1,100.0000%,$0.54,$0.54,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 08, 2020","Dec 08, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,commercial butcher knife edge guard,1,1,100.0000%,$0.46,$0.46,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 11, 2020","Dec 11, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,dexter knife edge guard,3,1,33.3333%,$0.37,$0.37,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 05, 2020","Dec 05, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,edge guard chinese chef knife,8,1,12.5000%,$0.69,$0.69,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 29, 2020","Dec 12, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,edge guard knife,26,2,7.6923%,$0.56,$1.11,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 04, 2020","Dec 04, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,edge-guard knife sheath,5,1,20.0000%,$0.62,$0.62,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 13, 2020","Dec 13, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,henckels knife edge guard 10 inch,3,1,33.3333%,$0.68,$0.68,$14.99,4.5364%,22.04,1,1,100.0000%,0,1,$0.00,$14.99
"Nov 29, 2020","Dec 02, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,kitchen knife edge guard,15,2,13.3333%,$0.51,$1.02,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Nov 17, 2020","Dec 10, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard,211,3,1.4218%,$0.35,$1.04,$12.99,8.0062%,12.49,1,1,33.3333%,1,0,$12.99,$0.00
"Dec 08, 2020","Dec 08, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard 4 inch,2,1,50.0000%,$0.59,$0.59,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 01, 2020","Dec 01, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard 5 inch,7,1,14.2857%,$0.53,$0.53,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 04, 2020","Dec 04, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife edge guard wood,1,1,100.0000%,$0.44,$0.44,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 11, 2020","Dec 11, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife roll knife edge guard,1,1,100.0000%,$0.40,$0.40,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 07, 2020","Dec 07, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,knife wood edge guard,1,1,100.0000%,$0.60,$0.60,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 05, 2020","Dec 05, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,mac knife edge guard,1,1,100.0000%,$0.45,$0.45,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2020","Dec 15, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,"noble 8"" knife edge guard",1,1,100.0000%,$0.52,$0.52,$14.99,3.4690%,28.83,1,1,100.0000%,0,1,$0.00,$14.99
"Nov 18, 2020","Nov 30, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,slicer knife edge guard,179,2,1.1173%,$0.68,$1.35,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 07, 2020","Dec 07, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,small knife edge guard,17,1,5.8824%,$0.42,$0.42,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 06, 2020","Dec 06, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,small knife edge guards,3,1,33.3333%,$0.86,$0.86,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 03, 2020","Dec 03, 2020",Not grouped,USD,Advertise Catalog_ONB 10-23-2019 21ea,nosh - Kitchen,knife edge guard,BROAD,steak knife edge guards,4,1,25.0000%,$0.47,$0.47,$0.00,,0,0,0,0.0000%,0,0,$0.00,$0.00
